slug,serving_size,servings_per_container,directions,warnings
aloe,1 Capsule,100,,
amp-k,3 Capsules,30,,
artemisinin-emulsion,5 mL (1 tsp.),24,,
bio-spore,3 Capsules,30,,
bpc-157-kpv,0.5mL (1 pump),60,,
bpc-157-tb-500,0.5mL (1 pump),60,,
cal-mag,2 Capsules,45 & 90,,
calm,2 Full Droppers (2 mL),30,,
candida-support,2 Capsules,45,,
cardio-ox,2 Capsules,30,,
cat-s-claw-elite,1 mL (2 Pumps),50,,
cat-s-claw-v-max,5 mL (1 tsp.),20,,
crypto-co-max,5 mL (1 tsp.),20,,
cryptolepis,1 Dropper (0.7 mL),About 80,,
cystimax,2 Capsules,30,,
d-enzyme,1 Capsule,90,,
detox-2,3 Capsules,6,,
dhea-25-mg,1 Capsule,90,,
dhea-5-mg,1 Tablet,100,,
dim-cdg,2 Capsules,30,,
edta-with-r-lipoic-acid,5 mL (1 tsp.),20,,
estro-fem,1 Capsule,30,,
ez-meal-1,1 Scoop (50.5 Grams),About 14,,
fiber-fit-1,1 Scoop (16.7 Grams),About 30,,
gi-rebuild,1 Scoop (6.9 grams),About 30,,
gi-reinforce,4 Capsules,30,,
gi-restore,2 Scoops (50.5 Grams),About 14,,
glutathione-cacao-mint,2.5mL (1/2 tsp),40,,
hair-nails,2 Capsules,30,,
hcl-b-p,2 Capsules,112,,
her-flora,1 Capsule,30,,
imd-intestinal-cleanse,200mg (about 2 scoops),30,,
immune,2 Capsules,60,,
immune-pro,2 Capsules,30,,
inflamaq,2 Capsules,60,,
inositol-blend-1,1 Scoop (7 Grams),About 30,,
iron,1 Capsule,60,,
kidney-care-1,5 mL (1 tsp),20,,
l-carnitine,1 Capsule,60,,
l-theanine,1 Capsule,60,,
liver-sauce-1,5 mL (1 tsp.),20,,
mag-threonate,2 Capsules,30,,
magnesium,2 Capsules,60,,
magnesium-powder,1 Scoop (5.7 Grams),About 30,,
mb12,1 Tablet,60,,
melatonin,1 Tablet,100,,
menstracalm,2 Capsules,30,,
motility-support,1 Capsule,60,,
n-a-c,1 Capsule,60,,
n-adrenal,2 Capsules,60,,
n-adreve,2 Capsules,30,,
nad-gold,2.5 mL (1/2 tsp.),40,,
nanofuel,2.5mL (1/2 tsp),40,,
nato-k,1 Soft Gel Capsule,60,,
nitrox,4 Capsules,30,,
omega-capsules,1 Soft Gel Capsule,120,,
optiboost-multi,4 Capsules,30,,
pregnenolone,1 Tablet,100,,
probiotic-100,1 Capsule,30,,
protein-1,27 grams (approx. one scoop),30,,
redox-u,3 Capsules,30,,
restorative-powder,2 Scoops (33.8 Grams),About 14,,
saccharomyces,1 Capsule,60,,
same,2 Capsules,30,,
sbi-remove,1 Scoop (2.5 Grams),About 30,,
serevital,4 Capsules,15,,
super-b-complex,1 Capsule,60,,
thyroid-support,4 Capsules,30,,
tulsi,1 Soft Gel Capsule,90,,
turmeric,1 Capsule,60,,
ut-max,1 Capsule,30,,
vira-calm,2 Capsules,30,,
vision-pro,2 Capsules,30,,
vita-c,1 Capsule,60,,
vital-aminos,1 Scoop (8 Grams),About 30,,
vital-k-d,1 Capsule,60,,
vitamin-d,1 Capsule,120,,
zinc,1 Capsule,60,,
